geo,time,boende_efter_bostadstyp_flerbostadshus_hyresratt
8042,2001,129
8042,2002,139
8042,2003,139
8042,2004,130
8042,2005,130
8042,2006,131
8042,2007,126
8042,2008,124
8042,2009,117
8042,2010,128
8042,2011,118
8042,2012,125
8042,2013,117
8042,2014,123
8042,2015,118
8042,2016,126
8042,2017,122
8043,2000,235
8043,2001,235
8043,2002,217
8043,2003,217
8043,2004,222
8043,2005,222
8043,2006,208
8043,2007,213
8043,2008,210
8043,2009,207
8043,2010,210
8043,2011,219
8043,2012,209
8043,2013,203
8043,2014,204
8043,2015,202
8043,2016,197
8043,2017,200
8044,2000,36
8044,2001,36
8044,2002,34
8044,2003,34
8044,2004,36
8044,2005,36
8044,2006,37
8044,2007,33
8044,2008,31
8044,2009,32
8044,2010,35
8044,2011,37
8044,2012,37
8044,2013,38
8044,2014,38
8044,2015,40
8044,2016,41
8044,2017,42
8045,2000,153
8045,2001,153
8045,2002,154
8045,2003,154
8045,2004,160
8045,2005,160
8045,2006,150
8045,2007,148
8045,2008,137
8045,2009,137
8045,2010,141
8045,2011,136
8045,2012,142
8045,2013,140
8045,2014,142
8045,2015,146
8045,2016,151
8045,2017,144
8057,2000,0
8057,2001,0
8057,2002,0
8057,2003,0
8057,2004,0
8057,2005,0
8057,2006,0
8057,2007,0
8057,2008,0
8057,2009,0
8057,2010,0
8057,2011,0
8057,2012,0
8057,2013,3
8057,2014,3
8057,2015,0
8057,2016,0
8057,2017,0
8061,2000,0
8061,2001,0
8061,2002,0
8061,2003,0
8061,2004,0
8061,2005,0
8061,2006,0
8061,2007,0
8061,2008,0
8061,2009,0
8061,2010,0
8061,2011,0
8061,2012,0
8061,2013,0
8061,2014,0
8061,2015,0
8061,2016,0
8061,2017,0
8062,2000,0
8062,2001,0
8062,2002,0
8062,2003,0
8062,2004,0
8062,2005,0
8062,2006,0
8062,2007,0
8062,2008,0
8062,2009,0
8062,2010,0
8062,2011,0
8062,2012,0
8062,2013,0
8062,2014,0
8062,2015,0
8062,2016,0
8062,2017,0
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,0
8063,2009,0
8063,2010,0
8063,2011,0
8063,2012,0
8063,2013,0
8063,2014,0
8063,2015,0
8063,2016,0
8063,2017,0
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,0
8064,2016,0
8064,2017,0
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,0
8065,2010,0
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8065,2017,0
8066,2000,447
8066,2001,447
8066,2002,449
8066,2003,449
8066,2004,445
8066,2005,445
8066,2006,421
8066,2007,419
8066,2008,392
8066,2009,408
8066,2010,426
8066,2011,436
8066,2012,435
8066,2013,434
8066,2014,440
8066,2015,422
8066,2016,426
8066,2017,432
8067,2000,0
8067,2001,0
8067,2002,0
8067,2003,0
8067,2004,0
8067,2005,0
8067,2006,0
8067,2007,0
8067,2008,0
8067,2009,0
8067,2010,0
8067,2011,0
8067,2012,0
8067,2013,0
8067,2014,0
8067,2015,0
8067,2016,0
8067,2017,0
8068,2000,284
8068,2001,284
8068,2002,280
8068,2003,280
8068,2004,280
8068,2005,280
8068,2006,274
8068,2007,265
8068,2008,258
8068,2009,271
8068,2010,280
8068,2011,284
8068,2012,264
8068,2013,255
8068,2014,257
8068,2015,290
8068,2016,278
8068,2017,267
8069,2000,0
8069,2001,0
8069,2002,0
8069,2003,0
8069,2004,0
8069,2005,0
8069,2006,0
8069,2007,0
8069,2008,0
8069,2009,0
8069,2010,0
8069,2011,0
8069,2012,0
8069,2013,0
8069,2014,0
8069,2015,0
8069,2016,0
8069,2017,0
8071,2000,0
8071,2001,0
8071,2002,0
8071,2003,0
8071,2004,0
8071,2005,0
8071,2006,0
8071,2007,0
8071,2008,0
8071,2009,0
8071,2010,0
8071,2011,0
8071,2012,0
8071,2013,0
8071,2014,0
8071,2015,0
8071,2016,0
8071,2017,0
8072,2000,15
8072,2001,15
8072,2002,16
8072,2003,16
8072,2004,14
8072,2005,14
8072,2006,14
8072,2007,12
8072,2008,12
8072,2009,10
8072,2010,14
8072,2011,13
8072,2012,13
8072,2013,12
8072,2014,7
8072,2015,13
8072,2016,12
8072,2017,10
8073,2000,754
8073,2001,754
8073,2002,770
8073,2003,770
8073,2004,762
8073,2005,762
8073,2006,737
8073,2007,753
8073,2008,739
8073,2009,727
8073,2010,717
8073,2011,709
8073,2012,706
8073,2013,698
8073,2014,714
8073,2015,759
8073,2016,756
8073,2017,750
8074,2000,16
8074,2001,16
8074,2002,18
8074,2003,18
8074,2004,20
8074,2005,20
8074,2006,15
8074,2007,17
8074,2008,15
8074,2009,15
8074,2010,18
8074,2011,16
8074,2012,14
8074,2013,13
8074,2014,16
8074,2015,16
8074,2016,17
8074,2017,14
8075,2000,0
8075,2001,0
8075,2002,0
8075,2003,0
8075,2004,0
8075,2005,0
8075,2006,0
8075,2007,0
8075,2008,0
8075,2009,0
8075,2010,0
8075,2011,0
8075,2012,0
8075,2013,0
8075,2014,0
8075,2015,0
8075,2016,0
8075,2017,0
8076,2000,45
8076,2001,45
8076,2002,43
8076,2003,43
8076,2004,45
8076,2005,45
8076,2006,46
8076,2007,38
8076,2008,37
8076,2009,36
8076,2010,39
8076,2011,33
8076,2012,38
8076,2013,36
8076,2014,31
8076,2015,34
8076,2016,28
8076,2017,31
808,2000,5
808,2001,5
808,2002,0
808,2003,0
808,2004,0
808,2005,0
808,2006,0
808,2007,0
808,2008,0
808,2009,0
808,2010,0
808,2011,0
808,2012,0
808,2013,0
808,2014,0
808,2015,0
808,2016,0
808,2017,0
11,2000,54
11,2001,54
11,2002,60
11,2003,60
11,2004,56
11,2005,56
11,2006,64
11,2007,55
11,2008,56
11,2009,52
11,2010,48
11,2011,45
11,2012,43
11,2013,44
11,2014,53
11,2015,65
11,2016,70
11,2017,67
12,2000,478
12,2001,478
12,2002,485
12,2003,485
12,2004,471
12,2005,471
12,2006,458
12,2007,472
12,2008,463
12,2009,461
12,2010,473
12,2011,465
12,2012,463
12,2013,481
12,2014,484
12,2015,493
12,2016,483
12,2017,472
13,2000,21
13,2001,21
13,2002,20
13,2003,20
13,2004,21
13,2005,21
13,2006,22
13,2007,22
13,2008,26
13,2009,28
13,2010,28
13,2011,30
13,2012,29
13,2013,27
13,2014,22
13,2015,26
13,2016,26
13,2017,30
14,2000,43
14,2001,43
14,2002,39
14,2003,39
14,2004,49
14,2005,49
14,2006,46
14,2007,49
14,2008,51
14,2009,47
14,2010,51
14,2011,42
14,2012,53
14,2013,55
14,2014,43
14,2015,46
14,2016,47
14,2017,50
15,2000,12
15,2001,12
15,2002,16
15,2003,16
15,2004,13
15,2005,13
15,2006,19
15,2007,19
15,2008,18
15,2009,18
15,2010,18
15,2011,34
15,2012,33
15,2013,32
15,2014,31
15,2015,34
15,2016,35
15,2017,35
61,2000,125
61,2001,125
61,2002,144
61,2003,144
61,2004,147
61,2005,147
61,2006,134
61,2007,133
61,2008,133
61,2009,131
61,2010,140
61,2011,147
61,2012,141
61,2013,137
61,2014,138
61,2015,148
61,2016,146
61,2017,148
62,2000,106
62,2001,106
62,2002,105
62,2003,105
62,2004,109
62,2005,109
62,2006,93
62,2007,89
62,2008,88
62,2009,85
62,2010,86
62,2011,81
62,2012,87
62,2013,76
62,2014,72
62,2015,76
62,2016,65
62,2017,93
63,2000,25
63,2001,25
63,2002,35
63,2003,35
63,2004,35
63,2005,35
63,2006,33
63,2007,36
63,2008,40
63,2009,44
63,2010,45
63,2011,41
63,2012,37
63,2013,38
63,2014,41
63,2015,45
63,2016,46
63,2017,45
81,2000,0
81,2001,0
81,2002,0
81,2003,0
81,2004,0
81,2005,0
81,2006,0
81,2007,0
81,2008,0
81,2009,0
81,2010,0
81,2011,0
81,2012,0
81,2013,0
81,2014,0
81,2015,0
81,2016,0
81,2017,0
82,2000,24
82,2001,24
82,2002,21
82,2003,21
82,2004,26
82,2005,26
82,2006,24
82,2007,29
82,2008,34
82,2009,34
82,2010,31
82,2011,33
82,2012,26
82,2013,24
82,2014,27
82,2015,32
82,2016,24
82,2017,25
83,2000,2
83,2001,2
83,2002,0
83,2003,0
83,2004,0
83,2005,0
83,2006,0
83,2007,0
83,2008,0
83,2009,0
83,2010,0
83,2011,0
83,2012,0
83,2013,2
83,2014,0
83,2015,0
83,2016,0
83,2017,0
2,2000,49
2,2001,49
2,2002,46
2,2003,46
2,2004,46
2,2005,46
2,2006,43
2,2007,49
2,2008,49
2,2009,46
2,2010,50
2,2011,46
2,2012,45
2,2013,46
2,2014,43
2,2015,45
2,2016,49
2,2017,49
5,2000,397
5,2001,397
5,2002,383
5,2003,383
5,2004,380
5,2005,380
5,2006,377
5,2007,382
5,2008,379
5,2009,384
5,2010,389
5,2011,375
5,2012,368
5,2013,379
5,2014,378
5,2015,392
5,2016,391
5,2017,394
7,2000,415
7,2001,415
7,2002,403
7,2003,403
7,2004,394
7,2005,394
7,2006,354
7,2007,385
7,2008,376
7,2009,383
7,2010,366
7,2011,382
7,2012,400
7,2013,369
7,2014,368
7,2015,369
7,2016,355
7,2017,351
