geo,time,forvarvsfrekvens_kvinnor
8023,2009,"70,8"
8023,2010,"66,7"
8023,2011,"69,9"
8023,2012,"68,8"
8023,2013,"77,8"
8023,2014,"80,2"
8023,2015,"58,2"
8023,2016,"53,4"
8024,2000,"41,3"
8024,2001,"41,3"
8024,2002,"43,9"
8024,2003,43
8024,2004,"38,7"
8024,2005,"39,7"
8024,2006,"40,5"
8024,2007,"38,1"
8024,2008,"35,5"
8024,2009,"32,1"
8024,2010,"29,4"
8024,2011,"26,3"
8024,2012,30
8024,2013,"29,9"
8024,2014,"32,8"
8024,2015,"32,1"
8024,2016,"35,8"
8025,2000,"80,4"
8025,2001,"80,4"
8025,2002,"80,3"
8025,2003,"79,9"
8025,2004,"79,7"
8025,2005,"79,4"
8025,2006,"80,5"
8025,2007,"82,2"
8025,2008,"81,6"
8025,2009,"77,8"
8025,2010,"80,1"
8025,2011,"79,9"
8025,2012,83
8025,2013,"83,2"
8025,2014,"87,1"
8025,2015,"87,9"
8025,2016,"83,2"
8026,2000,"80,2"
8026,2001,"80,2"
8026,2002,"80,4"
8026,2003,"80,3"
8026,2004,81
8026,2005,"80,8"
8026,2006,"79,3"
8026,2007,"79,4"
8026,2008,"79,9"
8026,2009,"81,6"
8026,2010,"81,7"
8026,2011,82
8026,2012,80
8026,2013,"79,6"
8026,2014,"80,7"
8026,2015,83
8026,2016,"79,8"
8037,2000,"83,8"
8037,2001,"83,8"
8037,2002,"79,2"
8037,2003,"81,1"
8037,2004,"83,6"
8037,2005,"78,7"
8037,2006,"82,2"
8037,2007,"78,6"
8037,2008,"78,9"
8037,2009,"80,6"
8037,2010,"83,5"
8037,2011,"89,2"
8037,2012,"89,5"
8037,2013,"87,3"
8037,2014,"92,9"
8037,2015,"91,2"
8037,2016,"90,1"
8038,2000,85
8038,2001,85
8038,2002,"85,4"
8038,2003,"87,8"
8038,2004,"89,4"
8038,2005,87
8038,2006,"87,2"
8038,2007,"88,4"
8038,2008,"89,4"
8038,2009,87
8038,2010,"86,3"
8038,2011,"89,8"
8038,2012,"90,6"
8038,2013,"95,5"
8038,2014,"91,3"
8038,2015,91
8038,2016,"87,2"
8039,2000,"71,7"
8039,2001,"71,7"
8039,2002,"77,1"
8039,2003,"79,7"
8039,2004,"79,5"
8039,2005,"81,7"
8039,2006,"82,8"
8039,2007,"83,3"
8039,2008,82
8039,2009,"80,8"
8039,2010,"81,7"
8039,2011,"82,6"
8039,2012,"84,6"
8039,2013,"82,7"
8039,2014,"79,5"
8039,2015,"80,7"
8039,2016,"81,6"
8041,2000,"72,1"
8041,2001,"72,1"
8041,2002,"69,8"
8041,2003,"66,7"
8041,2004,"68,9"
8041,2005,"61,4"
8041,2006,"72,3"
8041,2007,"81,3"
8041,2008,"78,4"
8041,2009,"76,5"
8041,2010,"79,2"
8041,2011,74
8041,2012,"74,5"
8041,2013,"72,9"
8041,2014,83
8041,2015,"75,8"
8041,2016,"79,4"
8042,2000,"79,2"
8042,2001,"79,2"
8042,2002,"77,8"
8042,2003,"71,1"
8042,2004,"75,9"
8042,2005,"74,7"
8042,2006,"75,9"
8042,2007,"72,2"
8042,2008,"75,7"
8042,2009,"74,7"
8042,2010,"72,7"
8042,2011,"82,2"
8042,2012,"79,2"
8042,2013,"73,6"
8042,2014,"79,5"
8042,2015,"78,7"
8042,2016,"78,2"
8043,2000,"64,3"
8043,2001,"64,3"
8043,2002,"58,8"
8043,2003,"60,5"
8043,2004,"62,7"
