geo,time,nettoflytt_utb
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,37
8063,2009,16
8063,2010,12
8063,2011,13
8063,2012,16
8063,2013,10
8063,2014,6
8063,2015,4
8063,2016,5
8063,2017,--
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,5
8064,2016,10
8064,2017,--
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,0
8065,2010,0
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,
8065,2017,--
8066,2000,-5
8066,2001,1
8066,2002,4
8066,2003,-1
8066,2004,-1
8066,2005,1
8066,2006,-6
8066,2007,3
8066,2008,-4
8066,2009,-3
8066,2010,-2
8066,2011,-3
8066,2012,0
8066,2013,4
8066,2014,-3
8066,2015,1
8066,2016,2
8066,2017,--
8067,2000,-3
8067,2001,0
8067,2002,9
8067,2003,-3
8067,2004,5
8067,2005,-1
8067,2006,-3
8067,2007,3
8067,2008,3
8067,2009,-6
8067,2010,-1
8067,2011,2
8067,2012,-2
8067,2013,13
8067,2014,-4
8067,2015,8
8067,2016,8
8067,2017,--
8068,2000,-2
8068,2001,1
8068,2002,13
8068,2003,-6
8068,2004,2
8068,2005,-6
8068,2006,-3
8068,2007,10
8068,2008,-6
8068,2009,2
8068,2010,-2
8068,2011,7
8068,2012,-4
8068,2013,4
8068,2014,2
8068,2015,13
8068,2016,11
8068,2017,--
8069,2000,-1
8069,2001,2
8069,2002,1
8069,2003,1
8069,2004,0
8069,2005,3
8069,2006,-4
8069,2007,2
8069,2008,0
8069,2009,1
8069,2010,-1
8069,2011,1
8069,2012,0
8069,2013,1
8069,2014,-1
8069,2015,-2
8069,2016,-2
8069,2017,--
8071,2000,-2
8071,2001,2
8071,2002,1
8071,2003,3
8071,2004,7
8071,2005,3
8071,2006,0
8071,2007,2
8071,2008,1
8071,2009,2
8071,2010,5
8071,2011,-2
8071,2012,8
8071,2013,8
8071,2014,-1
8071,2015,3
8071,2016,-1
8071,2017,--
8072,2000,3
8072,2001,1
8072,2002,-2
8072,2003,3
8072,2004,0
8072,2005,0
8072,2006,-2
8072,2007,3
8072,2008,3
8072,2009,1
8072,2010,4
8072,2011,-3
