geo,time,inrikes_fodda_summa
83,2009,304
83,2010,302
83,2011,299
83,2012,292
83,2013,281
83,2014,269
83,2015,275
83,2016,271
83,2017,264
2,2000,1570
2,2001,1570
2,2002,1570
2,2003,1574
2,2004,1602
2,2005,1622
2,2006,1608
2,2007,1639
2,2008,1628
2,2009,1600
2,2010,1604
2,2011,1590
2,2012,1602
2,2013,1579
2,2014,1591
2,2015,1567
2,2016,1567
2,2017,1593
5,2000,4803
5,2001,4803
5,2002,4803
5,2003,4813
5,2004,4779
5,2005,4803
5,2006,4816
5,2007,4816
5,2008,4819
5,2009,4822
5,2010,4783
5,2011,4778
5,2012,4774
5,2013,4775
5,2014,4786
5,2015,4788
5,2016,4830
5,2017,4798
7,2000,4200
7,2001,4200
7,2002,4200
7,2003,4278
7,2004,4371
7,2005,4492
7,2006,4688
7,2007,4717
7,2008,4807
7,2009,4844
7,2010,4833
7,2011,4904
7,2012,4897
7,2013,4916
7,2014,4961
7,2015,4979
7,2016,4973
7,2017,5048
