geo,time,utrikes_fodda_summa
808,2004,4
808,2005,4
808,2006,4
808,2007,5
808,2008,5
808,2009,8
808,2010,8
808,2011,9
808,2012,11
808,2013,10
808,2014,13
808,2015,9
808,2016,10
808,2017,13
11,2000,72
11,2001,72
11,2002,72
11,2003,65
11,2004,62
11,2005,64
11,2006,62
11,2007,55
11,2008,66
11,2009,70
11,2010,80
11,2011,79
11,2012,75
11,2013,71
11,2014,77
11,2015,90
11,2016,93
11,2017,89
12,2000,64
12,2001,64
12,2002,64
12,2003,70
12,2004,77
12,2005,77
12,2006,89
12,2007,92
12,2008,90
12,2009,93
12,2010,94
12,2011,103
12,2012,110
12,2013,107
12,2014,116
12,2015,123
12,2016,142
12,2017,155
13,2000,45
13,2001,45
13,2002,45
13,2003,47
13,2004,46
13,2005,52
13,2006,45
13,2007,51
13,2008,52
13,2009,59
13,2010,53
13,2011,59
13,2012,55
13,2013,60
13,2014,57
13,2015,60
13,2016,61
13,2017,68
14,2000,38
14,2001,38
14,2002,38
14,2003,38
14,2004,43
14,2005,43
14,2006,41
14,2007,45
14,2008,43
14,2009,43
14,2010,46
14,2011,47
14,2012,43
14,2013,50
14,2014,49
14,2015,55
14,2016,54
14,2017,58
15,2000,58
15,2001,58
15,2002,58
15,2003,57
15,2004,62
15,2005,60
15,2006,66
15,2007,69
15,2008,71
15,2009,69
15,2010,78
15,2011,74
15,2012,76
15,2013,73
15,2014,76
15,2015,73
15,2016,84
15,2017,97
61,2000,75
61,2001,75
61,2002,75
61,2003,74
61,2004,70
61,2005,74
61,2006,75
61,2007,79
61,2008,82
61,2009,85
61,2010,81
61,2011,64
61,2012,69
61,2013,68
61,2014,75
61,2015,80
61,2016,83
61,2017,91
62,2000,42
62,2001,42
62,2002,42
62,2003,46
62,2004,47
62,2005,50
62,2006,55
62,2007,53
62,2008,63
62,2009,58
62,2010,68
62,2011,84
62,2012,88
62,2013,82
62,2014,90
62,2015,92
62,2016,167
62,2017,127
63,2000,50
63,2001,50
63,2002,50
63,2003,49
63,2004,49
63,2005,59
63,2006,57
63,2007,64
63,2008,58
63,2009,60
63,2010,63
63,2011,65
63,2012,71
63,2013,68
63,2014,65
63,2015,79
63,2016,88
63,2017,81
81,2000,15
81,2001,15
81,2002,15
81,2003,17
81,2004,16
81,2005,16
81,2006,16
81,2007,19
81,2008,18
81,2009,18
81,2010,19
81,2011,24
