geo,time,nettoflytt_utb_ackumulerat
8044,2000,-5
8044,2001,-5
8044,2002,1
8044,2003,1
8044,2004,4
8044,2005,10
8044,2006,9
8044,2007,8
8044,2008,9
8044,2009,9
8044,2010,16
8044,2011,14
8044,2012,17
8044,2013,15
8044,2014,16
8044,2015,14
8044,2016,15
8044,2017,15
8045,2000,-2
8045,2001,-1
8045,2002,1
8045,2003,3
8045,2004,5
8045,2005,4
8045,2006,4
8045,2007,8
8045,2008,7
8045,2009,7
8045,2010,5
8045,2011,9
8045,2012,9
8045,2013,4
8045,2014,11
8045,2015,18
8045,2016,19
8045,2017,19
8057,2000,1
8057,2001,0
8057,2002,3
8057,2003,8
8057,2004,14
8057,2005,14
8057,2006,14
8057,2007,19
8057,2008,19
8057,2009,24
8057,2010,24
8057,2011,25
8057,2012,23
8057,2013,23
8057,2014,25
8057,2015,26
8057,2016,29
8057,2017,29
8061,2000,-2
8061,2001,-5
8061,2002,-4
8061,2003,-8
8061,2004,-7
8061,2005,-6
8061,2006,-9
8061,2007,-2
8061,2008,3
8061,2009,0
8061,2010,-1
8061,2011,-3
8061,2012,-10
8061,2013,-7
8061,2014,-3
8061,2015,0
8061,2016,-2
8061,2017,-2
8062,2000,-3
8062,2001,2
8062,2002,5
8062,2003,16
8062,2004,24
8062,2005,30
8062,2006,28
8062,2007,29
8062,2008,30
8062,2009,38
8062,2010,40
8062,2011,46
8062,2012,44
8062,2013,44
8062,2014,47
8062,2015,44
8062,2016,45
8062,2017,45
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,37
8063,2009,53
8063,2010,65
8063,2011,78
8063,2012,94
8063,2013,104
8063,2014,110
8063,2015,114
8063,2016,119
8063,2017,119
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,5
8064,2016,15
8064,2017,15
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,0
8065,2010,0
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8065,2017,0
8066,2000,-5
8066,2001,-4
8066,2002,0
8066,2003,-1
8066,2004,-2
8066,2005,-1
8066,2006,-7
8066,2007,-4
8066,2008,-8
8066,2009,-11
8066,2010,-13
8066,2011,-16
8066,2012,-16
8066,2013,-12
8066,2014,-15
8066,2015,-14
8066,2016,-12
8066,2017,-12
8067,2000,-3
8067,2001,-3
8067,2002,6
8067,2003,3
8067,2004,8
8067,2005,7
8067,2006,4
8067,2007,7
8067,2008,10
8067,2009,4
8067,2010,3
8067,2011,5
8067,2012,3
8067,2013,16
8067,2014,12
8067,2015,20
8067,2016,28
8067,2017,28
8068,2000,-2
8068,2001,-1
8068,2002,12
8068,2003,6
8068,2004,8
8068,2005,2
8068,2006,-1
8068,2007,9
8068,2008,3
8068,2009,5
8068,2010,3
8068,2011,10
8068,2012,6
8068,2013,10
8068,2014,12
8068,2015,25
8068,2016,36
8068,2017,36
8069,2000,-1
8069,2001,1
8069,2002,2
8069,2003,3
8069,2004,3
8069,2005,6
8069,2006,2
8069,2007,4
8069,2008,4
8069,2009,5
8069,2010,4
8069,2011,5
8069,2012,5
8069,2013,6
8069,2014,5
8069,2015,3
8069,2016,1
8069,2017,1
8071,2000,-2
8071,2001,0
8071,2002,1
8071,2003,4
8071,2004,11
8071,2005,14
8071,2006,14
8071,2007,16
8071,2008,17
8071,2009,19
8071,2010,24
8071,2011,22
8071,2012,30
8071,2013,38
8071,2014,37
8071,2015,40
8071,2016,39
8071,2017,39
8072,2000,3
8072,2001,4
8072,2002,2
8072,2003,5
8072,2004,5
8072,2005,5
8072,2006,3
8072,2007,6
8072,2008,9
8072,2009,10
8072,2010,14
8072,2011,11
8072,2012,14
8072,2013,12
8072,2014,10
8072,2015,11
8072,2016,12
8072,2017,12
8073,2000,1
8073,2001,-4
8073,2002,-1
8073,2003,4
8073,2004,0
8073,2005,5
8073,2006,8
8073,2007,17
8073,2008,9
8073,2009,8
8073,2010,8
8073,2011,6
8073,2012,6
8073,2013,11
8073,2014,1
8073,2015,-6
8073,2016,-4
8073,2017,-4
8074,2000,-1
8074,2001,2
8074,2002,3
8074,2003,1
8074,2004,7
8074,2005,14
8074,2006,16
8074,2007,22
8074,2008,24
8074,2009,28
8074,2010,33
8074,2011,36
8074,2012,37
8074,2013,38
8074,2014,36
8074,2015,38
8074,2016,38
8074,2017,38
8075,2000,3
8075,2001,4
8075,2002,6
8075,2003,13
8075,2004,9
8075,2005,9
8075,2006,11
8075,2007,16
8075,2008,19
8075,2009,24
8075,2010,23
8075,2011,23
8075,2012,22
8075,2013,21
8075,2014,25
8075,2015,26
8075,2016,25
8075,2017,25
8076,2000,0
8076,2001,0
8076,2002,4
8076,2003,9
8076,2004,9
8076,2005,5
8076,2006,3
8076,2007,4
8076,2008,7
8076,2009,14
8076,2010,11
8076,2011,12
8076,2012,10
8076,2013,14
8076,2014,12
8076,2015,13
8076,2016,14
8076,2017,14
808,2000,-1
808,2001,1
808,2002,0
808,2003,1
808,2004,6
808,2005,7
808,2006,7
808,2007,7
808,2008,6
808,2009,7
808,2010,11
808,2011,11
808,2012,10
808,2013,8
808,2014,12
808,2015,11
808,2016,14
808,2017,14
11,2000,6
11,2001,16
11,2002,17
11,2003,24
11,2004,22
11,2005,21
11,2006,21
11,2007,28
11,2008,31
11,2009,29
11,2010,26
11,2011,32
11,2012,33
11,2013,38
11,2014,36
11,2015,31
11,2016,32
11,2017,32
12,2000,6
12,2001,10
12,2002,9
12,2003,13
12,2004,20
12,2005,21
12,2006,13
12,2007,34
12,2008,38
12,2009,40
12,2010,57
12,2011,68
12,2012,73
12,2013,74
12,2014,80
12,2015,89
12,2016,93
12,2017,93
13,2000,1
13,2001,1
13,2002,6
13,2003,12
13,2004,20
13,2005,22
13,2006,22
13,2007,27
13,2008,32
13,2009,31
13,2010,25
13,2011,31
13,2012,30
13,2013,27
13,2014,36
13,2015,42
13,2016,51
13,2017,51
14,2000,10
14,2001,14
14,2002,16
14,2003,25
14,2004,35
14,2005,34
14,2006,29
14,2007,32
14,2008,39
14,2009,41
14,2010,51
14,2011,60
14,2012,74
14,2013,81
14,2014,85
14,2015,92
14,2016,99
14,2017,99
15,2000,6
15,2001,7
15,2002,9
15,2003,23
15,2004,24
15,2005,37
15,2006,42
15,2007,59
15,2008,74
15,2009,83
15,2010,89
15,2011,98
15,2012,116
15,2013,124
15,2014,130
15,2015,142
15,2016,169
15,2017,169
61,2000,0
61,2001,5
61,2002,4
61,2003,4
61,2004,14
61,2005,10
61,2006,20
61,2007,17
61,2008,24
61,2009,22
61,2010,23
61,2011,25
61,2012,26
61,2013,28
61,2014,37
61,2015,40
61,2016,43
61,2017,43
62,2000,4
62,2001,7
62,2002,7
62,2003,9
62,2004,9
62,2005,17
62,2006,15
62,2007,18
62,2008,16
62,2009,22
62,2010,24
62,2011,25
62,2012,23
62,2013,22
62,2014,18
62,2015,23
62,2016,20
62,2017,20
63,2000,3
63,2001,-2
63,2002,4
63,2003,3
63,2004,3
63,2005,2
63,2006,4
63,2007,10
63,2008,7
63,2009,10
63,2010,17
63,2011,21
63,2012,21
63,2013,21
63,2014,23
63,2015,32
63,2016,39
63,2017,39
81,2000,4
81,2001,10
81,2002,8
81,2003,9
81,2004,13
81,2005,14
81,2006,18
81,2007,26
81,2008,28
81,2009,25
81,2010,28
81,2011,29
81,2012,38
81,2013,45
81,2014,45
81,2015,45
81,2016,54
81,2017,54
82,2000,5
82,2001,12
82,2002,20
82,2003,25
82,2004,31
82,2005,28
82,2006,34
82,2007,40
82,2008,38
82,2009,37
82,2010,44
82,2011,45
82,2012,52
82,2013,50
82,2014,51
82,2015,52
82,2016,60
82,2017,60
83,2000,2
83,2001,2
83,2002,3
83,2003,1
83,2004,1
83,2005,4
83,2006,4
83,2007,5
83,2008,2
83,2009,4
83,2010,5
83,2011,5
83,2012,5
83,2013,6
83,2014,8
83,2015,11
83,2016,11
83,2017,11
2,2000,3
2,2001,9
2,2002,18
2,2003,21
2,2004,24
2,2005,28
2,2006,28
2,2007,38
2,2008,38
2,2009,42
2,2010,46
2,2011,46
2,2012,63
2,2013,62
2,2014,66
2,2015,70
2,2016,82
2,2017,82
5,2000,-1
5,2001,3
5,2002,9
5,2003,13
5,2004,12
5,2005,16
5,2006,16
5,2007,37
5,2008,47
5,2009,65
5,2010,58
5,2011,60
5,2012,76
5,2013,79
5,2014,78
5,2015,79
5,2016,88
5,2017,88
7,2000,12
7,2001,46
7,2002,75
7,2003,120
7,2004,158
7,2005,197
7,2006,242
7,2007,277
7,2008,303
7,2009,330
7,2010,345
7,2011,397
7,2012,398
7,2013,411
7,2014,438
7,2015,471
7,2016,468
7,2017,468
