geo,time,utbildningsniva_andel_totalt
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,46.3
8063,2009,45.3
8063,2010,44.8
8063,2011,46.7
8063,2012,49.2
8063,2013,50.7
8063,2014,50.7
8063,2015,51.3
8063,2016,52.4
8063,2017,53.4
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,35.7
8064,2016,51.7
8064,2017,51.4
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,0
8065,2010,0
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8065,2017,0
8066,2000,7.7
8066,2001,7.7
8066,2002,7.7
8066,2003,7.7
8066,2004,7.7
8066,2005,9
8066,2006,6.8
8066,2007,9.1
8066,2008,8.2
8066,2009,7.3
8066,2010,7
8066,2011,5.5
8066,2012,6
8066,2013,7.4
8066,2014,6.9
8066,2015,8.3
8066,2016,8.9
8066,2017,8.3
8067,2000,20.2
8067,2001,20.2
8067,2002,20.2
8067,2003,20.2
8067,2004,20.2
8067,2005,21.1
8067,2006,21.1
8067,2007,22.2
8067,2008,23.3
8067,2009,23
8067,2010,22.4
8067,2011,23.6
8067,2012,24.1
8067,2013,26.9
8067,2014,26.6
8067,2015,29.2
8067,2016,32.4
8067,2017,32.2
8068,2000,20.3
8068,2001,20.3
8068,2002,20.3
8068,2003,20.3
8068,2004,20.3
8068,2005,19.5
8068,2006,19.9
8068,2007,22.2
8068,2008,20.9
8068,2009,21.4
8068,2010,20.3
8068,2011,21.6
8068,2012,21.4
8068,2013,22.7
8068,2014,23.6
8068,2015,25.6
8068,2016,27.7
8068,2017,28.6
8069,2000,25
8069,2001,25
8069,2002,25
8069,2003,25
8069,2004,25
8069,2005,27.8
8069,2006,25
8069,2007,26.6
8069,2008,30.1
8069,2009,30.2
8069,2010,30.5
