geo,time,medelinkomst_20_64_ar_man
8043,2005,221118
8043,2006,247280
8043,2007,246674
8043,2008,247420
8043,2009,255917
8043,2010,263168
8043,2011,257846
8043,2012,276985
8043,2013,285999
8043,2014,287118
8043,2015,270732
8043,2016,274688
8043,2017,264756
8044,2000,279088
8044,2001,286935
8044,2002,298226
8044,2003,295168
8044,2004,284665
8044,2005,308324
8044,2006,323855
8044,2007,324903
8044,2008,344495
8044,2009,349191
8044,2010,372822
8044,2011,374241
8044,2012,358378
8044,2013,352360
8044,2014,378126
8044,2015,437229
8044,2016,382784
8044,2017,353547
8045,2000,197616
8045,2001,203031
8045,2002,212636
8045,2003,218577
8045,2004,205672
8045,2005,221841
8045,2006,225587
8045,2007,237611
8045,2008,247716
8045,2009,251592
8045,2010,257591
8045,2011,258667
8045,2012,285433
8045,2013,290245
8045,2014,288114
8045,2015,293804
8045,2016,297857
8045,2017,302471
8057,2000,249333
8057,2001,243295
8057,2002,262795
8057,2003,278293
8057,2004,285910
8057,2005,299900
8057,2006,309885
8057,2007,310728
8057,2008,325757
8057,2009,326541
8057,2010,326764
8057,2011,330751
8057,2012,329522
8057,2013,342184
8057,2014,356784
8057,2015,358812
8057,2016,377214
8057,2017,396506
8061,2000,294287
8061,2001,289263
8061,2002,302373
8061,2003,320650
8061,2004,334523
8061,2005,357068
8061,2006,377738
8061,2007,388214
8061,2008,384705
8061,2009,397345
8061,2010,409385
8061,2011,408485
8061,2012,415255
8061,2013,427176
8061,2014,434587
8061,2015,435541
8061,2016,443948
8061,2017,466642
8062,2000,280322
8062,2001,290302
8062,2002,303546
8062,2003,310970
8062,2004,327605
8062,2005,330966
8062,2006,350905
8062,2007,371405
8062,2008,375451
8062,2009,381393
8062,2010,389830
8062,2011,400405
8062,2012,419571
8062,2013,429642
8062,2014,441613
8062,2015,447497
8062,2016,464995
8062,2017,472588
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,363861
8063,2009,381331
8063,2010,392739
8063,2011,423467
8063,2012,437437
8063,2013,461854
8063,2014,471780
8063,2015,484234
8063,2016,492813
8063,2017,517764
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
