geo,time,utbildningsniva_andel_man
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,39
8063,2009,40.7
8063,2010,41.1
8063,2011,41.2
8063,2012,44.4
8063,2013,48.6
8063,2014,48.2
8063,2015,47
8063,2016,46.6
8063,2017,46.2
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,33.3
8064,2016,53.8
8064,2017,58.8
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,0
8065,2010,0
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8065,2017,0
8066,2000,7.9
8066,2001,7.9
8066,2002,7.9
8066,2003,7.9
8066,2004,7.9
8066,2005,11
8066,2006,5.9
8066,2007,8.8
8066,2008,9.9
8066,2009,7.5
8066,2010,7.1
8066,2011,4.9
8066,2012,6
8066,2013,5
8066,2014,5.8
8066,2015,7.9
8066,2016,7.4
8066,2017,6.6
8067,2000,22.9
8067,2001,22.9
8067,2002,22.9
8067,2003,22.9
8067,2004,22.9
8067,2005,22.4
8067,2006,23.3
8067,2007,22.3
8067,2008,22.7
8067,2009,22.4
8067,2010,22.3
8067,2011,21.8
8067,2012,21.9
8067,2013,25.5
8067,2014,22.9
8067,2015,23.5
8067,2016,27.3
8067,2017,26.3
8068,2000,22.2
8068,2001,22.2
8068,2002,22.2
8068,2003,22.2
8068,2004,22.2
8068,2005,21.7
8068,2006,21.5
8068,2007,23.1
8068,2008,20.8
8068,2009,21.5
8068,2010,19.3
8068,2011,19.9
8068,2012,19.9
8068,2013,20.7
8068,2014,20.6
8068,2015,22.1
8068,2016,23.1
8068,2017,24.8
8069,2000,28
8069,2001,28
8069,2002,28
8069,2003,28
8069,2004,28
8069,2005,30.2
8069,2006,30.4
8069,2007,30.6
8069,2008,34
8069,2009,33.3
8069,2010,31.3
8069,2011,32.7
8069,2012,33.3
8069,2013,29.4
8069,2014,26.9
8069,2015,25.5
8069,2016,24
8069,2017,26
8071,2000,15.9
8071,2001,15.9
8071,2002,15.9
8071,2003,15.9
8071,2004,15.9
8071,2005,17.6
8071,2006,17.4
8071,2007,14.2
8071,2008,14.8
8071,2009,16.3
8071,2010,19
8071,2011,21.6
8071,2012,23.8
8071,2013,24.8
8071,2014,22.7
8071,2015,22.1
8071,2016,20.5
8071,2017,19.8
8072,2000,21
8072,2001,21
8072,2002,21
8072,2003,21
8072,2004,21
8072,2005,17.7
8072,2006,12.9
8072,2007,16.4
8072,2008,16.7
8072,2009,15.9
8072,2010,20
8072,2011,20
8072,2012,21.7
8072,2013,21
8072,2014,20
8072,2015,20.6
8072,2016,22.6
8072,2017,15
8073,2000,9.7
8073,2001,9.7
8073,2002,9.7
8073,2003,9.7
8073,2004,9.7
8073,2005,12
8073,2006,12.9
8073,2007,15.1
8073,2008,13.4
8073,2009,14.8
8073,2010,14.5
8073,2011,14.4
8073,2012,14.9
8073,2013,17.5
8073,2014,15.1
8073,2015,12.6
8073,2016,13.1
8073,2017,13.9
8074,2000,23.8
8074,2001,23.8
8074,2002,23.8
8074,2003,23.8
8074,2004,23.8
8074,2005,25.2
8074,2006,22
8074,2007,24.1
8074,2008,24.8
8074,2009,26.5
8074,2010,29.1
8074,2011,28.1
8074,2012,29.2
8074,2013,30.6
8074,2014,30.1
8074,2015,28.1
8074,2016,28.9
8074,2017,31.3
8075,2000,17.2
8075,2001,17.2
8075,2002,17.2
8075,2003,17.2
8075,2004,17.2
8075,2005,15.6
8075,2006,14.3
8075,2007,17.5
8075,2008,16.8
8075,2009,19
8075,2010,18.6
8075,2011,19.2
8075,2012,19.1
8075,2013,20.2
8075,2014,22
8075,2015,21.3
8075,2016,19
8075,2017,23.9
8076,2000,19.8
8076,2001,19.8
8076,2002,19.8
8076,2003,19.8
8076,2004,19.8
8076,2005,16
8076,2006,16.9
8076,2007,18.5
8076,2008,22.2
8076,2009,25.6
8076,2010,23.5
8076,2011,20.9
8076,2012,20.9
8076,2013,22.6
8076,2014,22.8
8076,2015,23
8076,2016,23.9
8076,2017,22.7
808,2000,21.7
808,2001,21.7
808,2002,21.7
808,2003,21.7
808,2004,21.7
808,2005,22.8
808,2006,24.1
808,2007,23.6
808,2008,21.8
808,2009,19
808,2010,22
808,2011,20
808,2012,19
808,2013,17.5
808,2014,17.5
808,2015,17.5
808,2016,17.9
808,2017,18.9
11,2000,5.9
11,2001,5.9
11,2002,5.9
11,2003,5.9
11,2004,5.9
11,2005,6.4
11,2006,7.3
11,2007,7.4
11,2008,6.8
