geo,time,nettoflytt_arb_ackumulerat
62,2007,-20
62,2008,-25
62,2009,-17
62,2010,-30
62,2011,-33
62,2012,-27
62,2013,-29
62,2014,-30
62,2015,-32
62,2016,-40
62,2017,-40
63,2000,-2
63,2001,0
63,2002,3
63,2003,7
63,2004,-4
63,2005,-16
63,2006,-19
63,2007,-12
63,2008,-28
63,2009,-36
63,2010,-29
63,2011,-33
63,2012,-29
63,2013,-29
63,2014,-16
63,2015,-11
63,2016,-8
63,2017,-8
81,2000,-1
81,2001,5
81,2002,5
81,2003,11
81,2004,9
81,2005,8
81,2006,5
81,2007,15
81,2008,15
81,2009,18
81,2010,22
81,2011,19
81,2012,30
81,2013,37
81,2014,43
81,2015,54
81,2016,73
81,2017,73
82,2000,2
82,2001,3
82,2002,-2
82,2003,4
82,2004,-2
82,2005,3
82,2006,3
82,2007,13
82,2008,25
82,2009,3
82,2010,7
82,2011,19
82,2012,22
82,2013,27
82,2014,15
82,2015,12
82,2016,29
82,2017,29
83,2000,-3
83,2001,-5
83,2002,-6
83,2003,-11
83,2004,-1
83,2005,-3
83,2006,-2
83,2007,3
83,2008,0
83,2009,0
83,2010,2
83,2011,1
83,2012,2
83,2013,-1
83,2014,-3
83,2015,3
83,2016,6
83,2017,6
2,2000,3
2,2001,10
2,2002,9
2,2003,11
2,2004,28
2,2005,48
2,2006,46
2,2007,65
2,2008,63
2,2009,53
2,2010,61
2,2011,61
2,2012,67
2,2013,58
2,2014,71
2,2015,69
2,2016,70
2,2017,70
5,2000,-25
5,2001,4
5,2002,-5
5,2003,-12
5,2004,-54
5,2005,-56
5,2006,-44
5,2007,-58
5,2008,-61
5,2009,-55
5,2010,-58
5,2011,-71
5,2012,-68
5,2013,-68
5,2014,-71
5,2015,-72
5,2016,-67
5,2017,-67
7,2000,0
7,2001,35
7,2002,97
7,2003,139
7,2004,203
7,2005,272
7,2006,352
7,2007,350
7,2008,366
7,2009,378
7,2010,389
7,2011,441
7,2012,424
7,2013,444
7,2014,456
7,2015,479
7,2016,456
7,2017,456
