geo,time,befolkning_total
8043,2006,357
8043,2007,371
8043,2008,363
8043,2009,364
8043,2010,360
8043,2011,369
8043,2012,356
8043,2013,359
8043,2014,354
8043,2015,353
8043,2016,355
8043,2017,359
8044,2000,309
8044,2001,306
8044,2002,309
8044,2003,317
8044,2004,325
8044,2005,321
8044,2006,327
8044,2007,336
8044,2008,332
8044,2009,326
8044,2010,342
8044,2011,342
8044,2012,340
8044,2013,332
8044,2014,335
8044,2015,343
8044,2016,352
8044,2017,361
8045,2000,187
8045,2001,184
8045,2002,191
8045,2003,194
8045,2004,198
8045,2005,190
8045,2006,187
8045,2007,216
8045,2008,203
8045,2009,204
8045,2010,212
8045,2011,208
8045,2012,216
8045,2013,222
8045,2014,233
8045,2015,246
8045,2016,251
8045,2017,251
8057,2000,370
8057,2001,370
8057,2002,359
8057,2003,375
8057,2004,380
8057,2005,380
8057,2006,366
8057,2007,385
8057,2008,380
8057,2009,394
8057,2010,381
8057,2011,378
8057,2012,370
8057,2013,362
8057,2014,369
8057,2015,353
8057,2016,361
8057,2017,357
8061,2000,815
8061,2001,781
8061,2002,765
8061,2003,749
8061,2004,735
8061,2005,742
8061,2006,731
8061,2007,746
8061,2008,748
8061,2009,737
8061,2010,725
8061,2011,725
8061,2012,710
8061,2013,725
8061,2014,714
8061,2015,723
8061,2016,719
8061,2017,709
8062,2000,746
8062,2001,768
8062,2002,751
8062,2003,757
8062,2004,779
8062,2005,797
8062,2006,784
8062,2007,770
8062,2008,785
8062,2009,783
8062,2010,769
8062,2011,783
8062,2012,777
8062,2013,771
8062,2014,764
8062,2015,754
8062,2016,744
8062,2017,747
8063,2000,1
8063,2001,1
8063,2002,1
8063,2003,0
8063,2004,1
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,138
8063,2009,209
8063,2010,265
8063,2011,314
8063,2012,368
8063,2013,400
8063,2014,425
8063,2015,430
8063,2016,440
8063,2017,446
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,5
8064,2015,18
8064,2016,44
8064,2017,57
8065,2000,0
8065,2001,0
8065,2002,1
8065,2003,1
8065,2004,0
8065,2005,0
8065,2006,1
8065,2007,1
8065,2008,2
8065,2009,3
8065,2010,3
8065,2011,1
8065,2012,0
8065,2013,1
8065,2014,0
8065,2015,2
8065,2016,2
8065,2017,1
8066,2000,495
8066,2001,504
8066,2002,508
8066,2003,505
8066,2004,501
8066,2005,466
8066,2006,472
8066,2007,473
8066,2008,440
8066,2009,462
8066,2010,479
8066,2011,488
8066,2012,492
8066,2013,491
8066,2014,493
8066,2015,472
8066,2016,480
8066,2017,482
8067,2000,810
8067,2001,810
8067,2002,800
8067,2003,780
8067,2004,797
8067,2005,793
8067,2006,787
8067,2007,792
8067,2008,794
8067,2009,781
8067,2010,769
8067,2011,765
8067,2012,754
8067,2013,773
8067,2014,790
8067,2015,801
8067,2016,795
8067,2017,801
8068,2000,699
8068,2001,697
8068,2002,739
8068,2003,744
8068,2004,746
8068,2005,746
8068,2006,753
8068,2007,745
8068,2008,740
8068,2009,744
8068,2010,754
8068,2011,783
8068,2012,764
8068,2013,753
8068,2014,752
8068,2015,796
8068,2016,805
8068,2017,793
8069,2000,157
8069,2001,156
8069,2002,151
8069,2003,152
8069,2004,155
8069,2005,154
8069,2006,145
8069,2007,151
8069,2008,147
8069,2009,150
8069,2010,152
8069,2011,156
8069,2012,148
8069,2013,156
8069,2014,154
8069,2015,151
8069,2016,150
8069,2017,150
8071,2000,391
8071,2001,396
8071,2002,382
8071,2003,380
8071,2004,395
8071,2005,389
8071,2006,393
8071,2007,396
8071,2008,394
8071,2009,387
8071,2010,388
8071,2011,381
8071,2012,383
8071,2013,389
8071,2014,398
8071,2015,419
8071,2016,423
8071,2017,436
8072,2000,260
8072,2001,270
8072,2002,265
8072,2003,261
8072,2004,256
8072,2005,250
8072,2006,242
8072,2007,242
8072,2008,236
8072,2009,236
8072,2010,236
8072,2011,223
8072,2012,232
8072,2013,230
8072,2014,227
8072,2015,240
8072,2016,231
8072,2017,236
8073,2000,906
8073,2001,917
8073,2002,920
8073,2003,927
8073,2004,921
8073,2005,913
8073,2006,894
8073,2007,918
8073,2008,904
8073,2009,892
8073,2010,886
8073,2011,862
8073,2012,871
8073,2013,866
8073,2014,886
8073,2015,926
8073,2016,927
8073,2017,917
8074,2000,374
8074,2001,371
8074,2002,381
8074,2003,374
8074,2004,384
8074,2005,394
8074,2006,391
8074,2007,396
8074,2008,394
8074,2009,395
8074,2010,409
8074,2011,419
8074,2012,425
8074,2013,428
8074,2014,408
8074,2015,430
8074,2016,419
8074,2017,414
8075,2000,363
8075,2001,366
8075,2002,376
8075,2003,381
8075,2004,374
8075,2005,376
8075,2006,368
8075,2007,373
8075,2008,373
8075,2009,379
8075,2010,381
8075,2011,379
8075,2012,374
8075,2013,366
8075,2014,369
8075,2015,376
8075,2016,377
8075,2017,366
8076,2000,309
8076,2001,313
8076,2002,309
8076,2003,302
8076,2004,296
8076,2005,300
8076,2006,303
8076,2007,296
8076,2008,293
8076,2009,305
8076,2010,308
8076,2011,307
8076,2012,308
8076,2013,315
8076,2014,311
8076,2015,318
8076,2016,313
8076,2017,310
808,2000,172
808,2001,188
808,2002,183
808,2003,192
808,2004,192
808,2005,191
808,2006,193
808,2007,190
808,2008,186
808,2009,189
808,2010,196
808,2011,203
808,2012,202
808,2013,197
808,2014,198
808,2015,199
808,2016,199
808,2017,203
11,2000,1527
11,2001,1527
11,2002,1541
11,2003,1525
11,2004,1521
11,2005,1502
11,2006,1489
11,2007,1450
11,2008,1454
11,2009,1453
11,2010,1460
11,2011,1442
11,2012,1408
11,2013,1379
11,2014,1425
11,2015,1441
11,2016,1449
11,2017,1453
12,2000,3648
12,2001,3650
12,2002,3630
12,2003,3625
12,2004,3604
12,2005,3581
12,2006,3565
12,2007,3559
12,2008,3542
12,2009,3527
12,2010,3529
12,2011,3487
12,2012,3537
12,2013,3529
12,2014,3530
12,2015,3541
12,2016,3516
12,2017,3538
13,2000,1635
13,2001,1635
13,2002,1634
13,2003,1620
13,2004,1626
13,2005,1636
13,2006,1607
13,2007,1612
13,2008,1579
13,2009,1566
13,2010,1524
13,2011,1498
13,2012,1443
13,2013,1423
13,2014,1422
13,2015,1424
13,2016,1426
13,2017,1446
14,2000,1705
14,2001,1703
14,2002,1674
14,2003,1664
14,2004,1680
14,2005,1666
14,2006,1628
14,2007,1625
14,2008,1616
14,2009,1625
14,2010,1614
14,2011,1598
14,2012,1591
14,2013,1602
14,2014,1589
14,2015,1598
14,2016,1585
14,2017,1588
15,2000,2168
15,2001,2152
15,2002,2155
15,2003,2207
15,2004,2222
15,2005,2257
15,2006,2233
15,2007,2268
15,2008,2292
15,2009,2314
15,2010,2346
15,2011,2324
15,2012,2331
15,2013,2309
15,2014,2347
15,2015,2419
15,2016,2505
15,2017,2614
61,2000,2226
61,2001,2219
61,2002,2230
61,2003,2184
61,2004,2219
61,2005,2181
61,2006,2146
61,2007,2143
61,2008,2163
61,2009,2136
61,2010,2143
61,2011,2140
61,2012,2119
61,2013,2091
61,2014,2081
61,2015,2078
61,2016,2078
61,2017,2084
62,2000,1090
62,2001,1081
62,2002,1062
62,2003,1087
62,2004,1071
62,2005,1064
62,2006,1046
62,2007,1027
62,2008,1016
62,2009,1017
62,2010,999
62,2011,998
62,2012,1007
62,2013,995
62,2014,986
62,2015,993
62,2016,1075
62,2017,1056
63,2000,1294
63,2001,1292
63,2002,1309
63,2003,1287
63,2004,1273
63,2005,1251
63,2006,1249
63,2007,1237
63,2008,1191
63,2009,1165
63,2010,1179
63,2011,1181
63,2012,1189
63,2013,1187
