kommundel,alternative_4_cdiac,gapminder_list,latitude,longitude,name,pandg,upper_case_name,kommun_5delar,kommun_13delar
12,Jämjö,Jämjö,15,87476084,56,21874053,Jämjö,JÄMJÖ,JÄMJÖ,kna503,k1
13,Torhamn,Torhamn,15,83732387,56,10601709,Torhamn,TORHAMN,TORHAMN,kna503,k1
14,Sturkö,Sturkö,15,6621866,56,10377043,Sturkö,STURKÖ,STURKÖ,kna503,k1
15,Ramdala,Ramdala,15,78022994,56,19916963,Ramdala,RAMDALA,RAMDALA,kna503,k1
61,Fridlevstad,Fridlevstad,15,55155791,56,31200896,Fridlevstad,FRIDLEVSTAD,FRIDLEVSTAD,kna504,k6
62,Holmsjö,Holmsjö,15,56913746,56,4367176,Holmsjö,HOLMSJÖ,HOLMSJÖ,kna504,k6
63,Tving,Tving,15,43407533,56,3601619,Tving,TVING,TVING,kna504,k6
81,Aspö,Aspö,15,54352038,56,11193563,Aspö,ASPÖ,ASPÖ,kna501,k81
82,Kättilsmåla,Kättilsmåla,15,73178184,56,24638513,Kättilsmåla,KÄTTILSMÅLA,KÄTTILSMÅLA,kna502,k808
83,Fjärdsjömåla/Flymen,Fjärdsjömåla/Flymen,15,75267235,56,35835082,Fjärdsjömåla/Flymen,FJÄRDSJÖMÅLA/FLYMEN,FJÄRDSJÖMÅLA/FLYMEN,kna504,k6
2,Hasslö,Hasslö,15,45709094,56,10889802,Hasslö,HASSLÖ,HASSLÖ,kna505,k2
5,Rödeby,Rödeby,15,65647154,56,32329369,Rödeby,RÖDEBY,RÖDEBY,kna504,k6
7,Nättraby,Nättraby,15,53587308,56,19336441,Nättraby,NÄTTRABY,NÄTTRABY,kna505,k2
