geo,time,utbildningsniva_andel_kvinnor
8057,2012,29.5
8057,2013,30.8
8057,2014,32.4
8057,2015,35
8057,2016,35.4
8057,2017,35
8061,2000,23.4
8061,2001,23.4
8061,2002,23.4
8061,2003,23.4
8061,2004,23.4
8061,2005,25.6
8061,2006,26
8061,2007,27.2
8061,2008,27.2
8061,2009,27.3
8061,2010,29
8061,2011,29.2
8061,2012,29.3
8061,2013,30.4
8061,2014,31.3
8061,2015,34.8
8061,2016,37.3
8061,2017,38.3
8062,2000,24.7
8062,2001,24.7
8062,2002,24.7
8062,2003,24.7
8062,2004,24.7
8062,2005,28
8062,2006,29.7
8062,2007,29.7
8062,2008,30.6
8062,2009,32
8062,2010,33.2
8062,2011,33.6
8062,2012,34.2
8062,2013,34.9
8062,2014,37.3
8062,2015,38
8062,2016,37.8
8062,2017,40
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,53.8
8063,2009,50
8063,2010,48.6
8063,2011,52.4
8063,2012,54.1
8063,2013,52.8
8063,2014,53
8063,2015,55.7
8063,2016,58.1
8063,2017,60.7
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,37.5
8064,2016,50
8064,2017,45
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,0
8065,2010,0
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8065,2017,0
8066,2000,7.6
8066,2001,7.6
8066,2002,7.6
8066,2003,7.6
8066,2004,7.6
8066,2005,7
8066,2006,7.7
8066,2007,9.5
8066,2008,6.5
8066,2009,7.1
8066,2010,7
8066,2011,6
8066,2012,6
8066,2013,9.4
8066,2014,8.1
8066,2015,8.6
8066,2016,10.5
8066,2017,10.1
8067,2000,17.3
8067,2001,17.3
8067,2002,17.3
8067,2003,17.3
8067,2004,17.3
8067,2005,19.8
8067,2006,19
8067,2007,22.1
8067,2008,24
8067,2009,23.6
8067,2010,22.5
8067,2011,25.2
8067,2012,26.2
8067,2013,28.2
8067,2014,30.4
8067,2015,35
8067,2016,37.9
8067,2017,38.7
8068,2000,18.6
8068,2001,18.6
8068,2002,18.6
8068,2003,18.6
8068,2004,18.6
8068,2005,17.5
8068,2006,18.4
8068,2007,21.4
8068,2008,21.1
8068,2009,21.4
8068,2010,21.2
8068,2011,23.2
8068,2012,22.8
8068,2013,24.8
8068,2014,26.5
8068,2015,29.1
8068,2016,32.1
8068,2017,32.1
8069,2000,21.7
8069,2001,21.7
8069,2002,21.7
8069,2003,21.7
8069,2004,21.7
8069,2005,25
8069,2006,19
8069,2007,22.2
8069,2008,26.1
8069,2009,27.1
8069,2010,29.8
8069,2011,31.9
8069,2012,36.4
8069,2013,40
8069,2014,38.3
8069,2015,35.6
8069,2016,34.8
8069,2017,39.5
8071,2000,19.3
8071,2001,19.3
8071,2002,19.3
8071,2003,19.3
8071,2004,19.3
8071,2005,22
8071,2006,25
8071,2007,29.1
8071,2008,27.5
8071,2009,32.3
8071,2010,32.7
8071,2011,31.7
8071,2012,33.7
8071,2013,36.8
8071,2014,35.8
8071,2015,37.8
8071,2016,38.3
8071,2017,37.8
8072,2000,22.5
8072,2001,22.5
8072,2002,22.5
8072,2003,22.5
8072,2004,22.5
8072,2005,24.2
8072,2006,27.3
8072,2007,28.1
8072,2008,34.9
8072,2009,36.7
8072,2010,38.3
8072,2011,38.2
8072,2012,43.1
8072,2013,43.1
8072,2014,44.2
8072,2015,40.4
8072,2016,44
8072,2017,40.7
8073,2000,12
8073,2001,12
8073,2002,12
8073,2003,12
8073,2004,12
8073,2005,12.8
8073,2006,14.5
8073,2007,16.9
8073,2008,17.2
8073,2009,16.8
8073,2010,17.6
8073,2011,17.6
8073,2012,16.5
8073,2013,17.9
8073,2014,16.4
8073,2015,16
8073,2016,16.3
8073,2017,17.7
8074,2000,24
8074,2001,24
8074,2002,24
8074,2003,24
8074,2004,24
8074,2005,27.5
8074,2006,28.6
8074,2007,33
8074,2008,37.6
8074,2009,38.2
8074,2010,38.5
8074,2011,40.2
8074,2012,40.4
8074,2013,40.2
8074,2014,43.9
8074,2015,41.6
8074,2016,42.6
8074,2017,46.3
8075,2000,11.2
8075,2001,11.2
8075,2002,11.2
8075,2003,11.2
8075,2004,11.2
8075,2005,16.2
8075,2006,17.6
8075,2007,20
8075,2008,19.4
8075,2009,21.8
8075,2010,21
8075,2011,22.7
8075,2012,24.4
8075,2013,24.4
8075,2014,29.1
8075,2015,29.7
8075,2016,28.6
8075,2017,31.6
8076,2000,34.6
8076,2001,34.6
8076,2002,34.6
8076,2003,34.6
8076,2004,34.6
8076,2005,31.7
8076,2006,29.9
8076,2007,30.7
8076,2008,31.6
8076,2009,36.4
8076,2010,34.2
8076,2011,34.7
8076,2012,38.2
8076,2013,40.2
8076,2014,39.2
