geo,time,inrikes_fodda_kvinnor
5,2006,2393
5,2007,2387
5,2008,2370
5,2009,2366
5,2010,2335
5,2011,2343
5,2012,2335
5,2013,2344
5,2014,2350
5,2015,2337
5,2016,2346
5,2017,2334
7,2000,2103
7,2001,2103
7,2002,2103
7,2003,2127
7,2004,2160
7,2005,2218
7,2006,2324
7,2007,2326
7,2008,2382
7,2009,2388
7,2010,2374
7,2011,2406
7,2012,2399
7,2013,2412
7,2014,2438
7,2015,2462
7,2016,2445
7,2017,2487
