geo,time,medelinkomst_20_64_ar_totalt
8073,2001,172 875
8073,2002,176 344
8073,2003,184 765
8073,2004,188 112
8073,2005,190 160
8073,2006,193 706
8073,2007,197 382
8073,2008,200 423
8073,2009,203 511
8073,2010,208 197
8073,2011,210 347
8073,2012,217 927
8073,2013,222 926
8073,2014,221 274
8073,2015,212 612
8073,2016,223 765
8073,2017,234 224
8074,2000,236 917
8074,2001,253 731
8074,2002,268 201
8074,2003,273 571
8074,2004,272 690
8074,2005,279 772
8074,2006,290 668
8074,2007,298 857
8074,2008,309 524
8074,2009,311 396
8074,2010,328 864
8074,2011,358 733
8074,2012,342 420
8074,2013,347 080
8074,2014,371 647
8074,2015,371 467
8074,2016,392 029
8074,2017,423 951
8075,2000,224 325
8075,2001,224 503
8075,2002,255 913
8075,2003,246 455
8075,2004,256 407
8075,2005,258 213
8075,2006,269 755
8075,2007,280 366
8075,2008,295 028
8075,2009,299 932
8075,2010,302 261
8075,2011,322 238
8075,2012,336 257
8075,2013,348 458
8075,2014,356 734
8075,2015,362 179
8075,2016,355 816
8075,2017,376 335
8076,2000,219 016
8076,2001,238 273
8076,2002,243 912
8076,2003,255 018
8076,2004,254 727
8076,2005,264 860
8076,2006,287 211
8076,2007,282 058
8076,2008,300 281
8076,2009,309 267
8076,2010,313 156
8076,2011,316 373
8076,2012,322 096
8076,2013,325 120
8076,2014,343 044
8076,2015,343 237
8076,2016,358 903
8076,2017,360 868
808,2000,216 733
808,2001,236 529
808,2002,240 166
808,2003,253 571
808,2004,260 861
808,2005,262 262
808,2006,276 215
808,2007,292 668
808,2008,294 105
808,2009,288 538
808,2010,291 453
808,2011,289 053
808,2012,306 467
808,2013,330 781
808,2014,338 673
808,2015,337 714
808,2016,353 632
808,2017,345 943
11,2000,172 533
11,2001,176 898
11,2002,184 722
11,2003,194 098
11,2004,198 995
11,2005,199 644
11,2006,208 450
11,2007,219 088
11,2008,224 738
11,2009,228 578
11,2010,226 902
11,2011,239 142
11,2012,245 225
11,2013,251 526
11,2014,254 200
11,2015,259 994
11,2016,266 857
11,2017,282 969
12,2000,183 332
12,2001,191 159
12,2002,199 167
12,2003,205 631
12,2004,211 508
12,2005,217 466
12,2006,228 365
12,2007,236 756
12,2008,243 844
12,2009,247 958
12,2010,251 693
12,2011,258 054
12,2012,265 746
12,2013,269 282
12,2014,280 928
12,2015,288 860
12,2016,299 094
12,2017,307 728
13,2000,176 183
13,2001,183 812
13,2002,193 032
13,2003,198 811
13,2004,203 923
13,2005,208 943
13,2006,217 404
13,2007,230 369
13,2008,239 423
13,2009,240 114
13,2010,244 773
13,2011,249 460
13,2012,257 414
13,2013,267 389
13,2014,271 659
13,2015,281 914
13,2016,295 558
13,2017,304 801
14,2000,181 121
14,2001,191 092
14,2002,202 228
14,2003,211 382
14,2004,213 606
14,2005,221 838
14,2006,236 098
14,2007,238 518
14,2008,249 666
14,2009,252 969
14,2010,260 904
14,2011,268 308
14,2012,272 419
14,2013,284 854
14,2014,296 004
14,2015,306 365
14,2016,317 672
14,2017,331 749
15,2000,184 174
15,2001,194 348
15,2002,205 892
15,2003,217 991
15,2004,218 227
15,2005,225 590
15,2006,240 609
15,2007,248 044
15,2008,255 406
15,2009,262 076
15,2010,265 661
15,2011,278 559
15,2012,284 877
15,2013,299 788
15,2014,312 571
15,2015,321 802
15,2016,340 682
15,2017,354 094
61,2000,186 600
61,2001,192 648
61,2002,197 518
61,2003,205 111
61,2004,210 243
61,2005,214 633
61,2006,227 017
61,2007,237 452
61,2008,243 003
61,2009,245 706
61,2010,250 017
61,2011,256 178
61,2012,262 874
61,2013,268 521
61,2014,279 519
61,2015,284 017
61,2016,292 023
61,2017,304 774
62,2000,167 384
62,2001,176 278
62,2002,187 408
62,2003,193 948
62,2004,197 101
62,2005,205 949
62,2006,211 133
62,2007,225 127
62,2008,230 814
62,2009,235 855
62,2010,239 473
62,2011,234 667
62,2012,237 592
62,2013,245 796
62,2014,251 526
62,2015,258 401
62,2016,243 728
62,2017,272 448
63,2000,174 773
63,2001,184 489
63,2002,191 591
63,2003,198 774
63,2004,204 042
63,2005,214 654
63,2006,221 589
63,2007,235 314
63,2008,247 742
63,2009,248 831
63,2010,246 919
63,2011,247 522
63,2012,255 967
63,2013,257 991
63,2014,264 419
63,2015,271 774
63,2016,287 428
63,2017,297 358
81,2000,190 305
81,2001,203 632
81,2002,206 284
81,2003,208 713
81,2004,224 033
81,2005,227 605
81,2006,240 735
81,2007,255 683
81,2008,264 237
81,2009,266 759
81,2010,273 914
81,2011,280 664
81,2012,291 643
81,2013,288 292
81,2014,300 397
81,2015,301 883
81,2016,318 019
81,2017,307 234
82,2000,199 609
82,2001,204 924
82,2002,212 395
82,2003,218 660
82,2004,228 713
82,2005,236 380
82,2006,243 249
82,2007,252 721
82,2008,262 717
82,2009,270 580
82,2010,275 941
82,2011,285 545
82,2012,296 531
82,2013,303 871
82,2014,310 111
82,2015,318 037
82,2016,332 263
82,2017,342 607
83,2000,157 920
83,2001,166 807
83,2002,174 865
83,2003,182 778
83,2004,187 929
83,2005,190 213
83,2006,197 859
83,2007,212 117
83,2008,219 351
83,2009,219 340
83,2010,220 704
83,2011,257 462
83,2012,255 848
83,2013,271 670
83,2014,279 752
83,2015,281 104
83,2016,283 032
83,2017,293 019
2,2000,189 975
2,2001,197 265
2,2002,205 062
2,2003,213 977
2,2004,217 224
2,2005,227 289
2,2006,237 721
