geo,time,boende_efter_bostadstyp_smahus
8039,2013,699
8039,2014,703
8039,2015,733
8039,2016,736
8039,2017,757
8041,2000,174
8041,2001,174
8041,2002,174
8041,2003,174
8041,2004,182
8041,2005,182
8041,2006,197
8041,2007,201
8041,2008,201
8041,2009,198
8041,2010,194
8041,2011,185
8041,2012,182
8041,2013,176
8041,2014,188
8041,2015,191
8041,2016,203
8041,2017,201
8042,2000,155
8042,2001,155
8042,2002,162
8042,2003,162
8042,2004,158
8042,2005,158
8042,2006,153
8042,2007,165
8042,2008,162
8042,2009,159
8042,2010,161
8042,2011,159
8042,2012,161
8042,2013,160
8042,2014,161
8042,2015,163
8042,2016,165
8042,2017,152
8043,2000,18
8043,2001,18
8043,2002,16
8043,2003,16
8043,2004,16
8043,2005,16
8043,2006,12
8043,2007,14
8043,2008,12
8043,2009,16
8043,2010,14
8043,2011,12
8043,2012,13
8043,2013,12
8043,2014,12
8043,2015,13
8043,2016,20
8043,2017,19
8044,2000,273
8044,2001,273
8044,2002,275
8044,2003,275
8044,2004,289
8044,2005,289
8044,2006,290
8044,2007,303
8044,2008,301
8044,2009,294
8044,2010,307
8044,2011,305
8044,2012,303
8044,2013,294
8044,2014,287
8044,2015,293
8044,2016,301
8044,2017,310
8045,2000,34
8045,2001,34
8045,2002,37
8045,2003,37
8045,2004,38
8045,2005,38
8045,2006,37
8045,2007,38
8045,2008,38
8045,2009,67
8045,2010,71
8045,2011,68
8045,2012,74
8045,2013,82
8045,2014,91
8045,2015,100
8045,2016,100
8045,2017,106
8057,2000,368
8057,2001,368
8057,2002,356
8057,2003,356
8057,2004,377
8057,2005,377
8057,2006,364
8057,2007,383
8057,2008,378
8057,2009,392
8057,2010,378
8057,2011,376
8057,2012,368
8057,2013,357
8057,2014,364
8057,2015,351
8057,2016,358
8057,2017,352
8061,2000,807
8061,2001,807
8061,2002,758
8061,2003,758
8061,2004,730
8061,2005,730
8061,2006,726
8061,2007,742
8061,2008,748
8061,2009,737
8061,2010,725
8061,2011,725
8061,2012,710
8061,2013,725
8061,2014,714
8061,2015,723
8061,2016,719
8061,2017,709
8062,2000,737
8062,2001,737
8062,2002,751
8062,2003,751
8062,2004,779
8062,2005,779
8062,2006,784
8062,2007,770
8062,2008,785
8062,2009,780
8062,2010,767
8062,2011,776
8062,2012,769
8062,2013,760
8062,2014,754
8062,2015,744
8062,2016,734
8062,2017,737
8063,2000,1
8063,2001,1
8063,2002,1
8063,2003,1
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,108
8063,2009,209
8063,2010,265
8063,2011,314
8063,2012,368
8063,2013,400
8063,2014,425
8063,2015,430
8063,2016,440
8063,2017,446
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,5
8064,2015,18
8064,2016,31
8064,2017,54
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,1
8065,2007,1
8065,2008,1
8065,2009,1
8065,2010,1
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8065,2017,0
8066,2000,48
8066,2001,48
8066,2002,59
8066,2003,59
8066,2004,56
8066,2005,56
8066,2006,51
8066,2007,54
8066,2008,48
8066,2009,54
8066,2010,53
8066,2011,52
8066,2012,57
8066,2013,57
8066,2014,53
8066,2015,50
8066,2016,54
8066,2017,50
8067,2000,804
8067,2001,804
8067,2002,797
8067,2003,797
8067,2004,796
8067,2005,796
8067,2006,786
8067,2007,791
8067,2008,792
8067,2009,781
8067,2010,769
8067,2011,765
8067,2012,748
8067,2013,771
8067,2014,790
8067,2015,801
8067,2016,795
8067,2017,801
8068,2000,415
8068,2001,415
8068,2002,456
8068,2003,456
8068,2004,463
8068,2005,463
8068,2006,477
8068,2007,480
8068,2008,482
8068,2009,473
8068,2010,474
8068,2011,499
8068,2012,500
8068,2013,498
8068,2014,495
8068,2015,506
8068,2016,527
8068,2017,526
8069,2000,157
8069,2001,157
8069,2002,151
8069,2003,151
8069,2004,155
8069,2005,155
8069,2006,145
8069,2007,151
8069,2008,147
8069,2009,150
8069,2010,152
8069,2011,156
8069,2012,146
8069,2013,156
8069,2014,154
8069,2015,151
8069,2016,150
8069,2017,150
8071,2000,387
8071,2001,387
8071,2002,379
8071,2003,379
8071,2004,387
8071,2005,387
8071,2006,386
8071,2007,389
8071,2008,389
8071,2009,384
8071,2010,385
8071,2011,381
8071,2012,383
8071,2013,389
8071,2014,398
8071,2015,419
8071,2016,423
8071,2017,436
8072,2000,245
8072,2001,245
8072,2002,249
8072,2003,249
8072,2004,242
8072,2005,242
8072,2006,228
8072,2007,230
8072,2008,224
8072,2009,226
8072,2010,222
8072,2011,210
8072,2012,219
8072,2013,218
8072,2014,220
8072,2015,227
8072,2016,219
8072,2017,226
8073,2000,147
8073,2001,147
8073,2002,145
8073,2003,145
8073,2004,159
8073,2005,159
8073,2006,157
8073,2007,165
8073,2008,165
8073,2009,163
8073,2010,169
8073,2011,153
8073,2012,165
8073,2013,168
8073,2014,172
8073,2015,166
8073,2016,170
8073,2017,166
8074,2000,358
8074,2001,358
8074,2002,363
8074,2003,363
8074,2004,364
8074,2005,364
8074,2006,368
8074,2007,379
8074,2008,379
8074,2009,380
8074,2010,391
8074,2011,403
8074,2012,411
8074,2013,415
8074,2014,392
8074,2015,414
8074,2016,402
8074,2017,400
8075,2000,363
8075,2001,363
8075,2002,376
8075,2003,376
8075,2004,374
8075,2005,374
8075,2006,368
8075,2007,373
8075,2008,373
8075,2009,379
8075,2010,381
8075,2011,379
8075,2012,374
8075,2013,366
8075,2014,369
8075,2015,376
8075,2016,377
8075,2017,366
8076,2000,264
8076,2001,264
8076,2002,266
8076,2003,266
8076,2004,251
8076,2005,251
8076,2006,257
8076,2007,258
8076,2008,256
8076,2009,269
8076,2010,269
8076,2011,274
8076,2012,270
8076,2013,279
8076,2014,280
8076,2015,284
8076,2016,285
8076,2017,279
808,2000,162
808,2001,162
808,2002,180
808,2003,180
808,2004,189
808,2005,189
808,2006,188
808,2007,189
808,2008,174
808,2009,185
808,2010,191
808,2011,192
808,2012,202
808,2013,197
808,2014,198
808,2015,199
808,2016,199
808,2017,203
11,2000,1463
11,2001,1463
11,2002,1474
11,2003,1474
11,2004,1460
11,2005,1460
11,2006,1417
11,2007,1388
11,2008,1389
11,2009,1396
11,2010,1405
11,2011,1394
11,2012,1359
11,2013,1332
11,2014,1371
11,2015,1374
11,2016,1374
11,2017,1381
12,2000,3103
12,2001,3103
12,2002,3068
12,2003,3068
12,2004,3064
12,2005,3064
12,2006,3044
12,2007,3006
12,2008,3005
12,2009,2992
12,2010,2983
12,2011,2947
12,2012,2994
12,2013,2981
12,2014,2984
12,2015,2993
12,2016,2976
12,2017,2985
13,2000,1612
13,2001,1612
13,2002,1606
13,2003,1606
13,2004,1601
13,2005,1601
13,2006,1579
13,2007,1584
13,2008,1547
13,2009,1533
13,2010,1490
13,2011,1465
13,2012,1409
13,2013,1393
