geo,time,utrikes_fodda_kvinnor
8071,2003,8
8071,2004,9
8071,2005,10
8071,2006,10
8071,2007,11
8071,2008,12
8071,2009,12
8071,2010,16
8071,2011,20
8071,2012,24
8071,2013,24
8071,2014,24
8071,2015,26
8071,2016,24
8071,2017,26
8072,2000,9
8072,2001,9
8072,2002,9
8072,2003,9
8072,2004,7
8072,2005,8
8072,2006,9
8072,2007,8
8072,2008,11
8072,2009,8
8072,2010,9
8072,2011,8
8072,2012,9
8072,2013,11
8072,2014,14
8072,2015,13
8072,2016,11
8072,2017,12
8073,2000,63
8073,2001,63
8073,2002,63
8073,2003,64
8073,2004,62
8073,2005,65
8073,2006,73
8073,2007,81
8073,2008,73
8073,2009,59
8073,2010,54
8073,2011,57
8073,2012,61
8073,2013,69
8073,2014,82
8073,2015,106
8073,2016,110
8073,2017,103
8074,2000,6
8074,2001,6
8074,2002,6
8074,2003,6
8074,2004,6
8074,2005,6
8074,2006,6
8074,2007,5
8074,2008,7
8074,2009,8
8074,2010,9
8074,2011,10
8074,2012,9
8074,2013,9
8074,2014,9
8074,2015,15
8074,2016,13
8074,2017,12
8075,2000,3
8075,2001,3
8075,2002,3
8075,2003,5
8075,2004,4
8075,2005,6
8075,2006,7
8075,2007,7
8075,2008,8
8075,2009,8
8075,2010,10
8075,2011,10
8075,2012,9
8075,2013,10
8075,2014,11
8075,2015,15
8075,2016,15
8075,2017,19
8076,2000,2
8076,2001,2
8076,2002,2
8076,2003,4
8076,2004,4
8076,2005,5
8076,2006,5
8076,2007,8
8076,2008,9
8076,2009,11
8076,2010,12
8076,2011,12
8076,2012,10
8076,2013,12
8076,2014,14
8076,2015,13
8076,2016,13
8076,2017,14
808,2000,2
808,2001,2
808,2002,2
808,2003,3
808,2004,2
808,2005,2
808,2006,2
808,2007,2
808,2008,2
808,2009,4
808,2010,4
808,2011,5
808,2012,6
808,2013,5
808,2014,7
808,2015,4
808,2016,5
808,2017,7
11,2000,40
11,2001,40
11,2002,40
11,2003,34
11,2004,32
11,2005,33
11,2006,29
11,2007,25
11,2008,27
11,2009,31
11,2010,34
11,2011,32
11,2012,31
11,2013,30
11,2014,30
11,2015,42
11,2016,42
11,2017,38
12,2000,34
12,2001,34
12,2002,34
12,2003,38
12,2004,41
12,2005,44
12,2006,53
12,2007,54
12,2008,55
12,2009,58
12,2010,61
12,2011,66
12,2012,70
12,2013,67
12,2014,69
12,2015,73
12,2016,79
12,2017,81
13,2000,24
13,2001,24
13,2002,24
13,2003,26
13,2004,27
13,2005,32
13,2006,29
13,2007,32
13,2008,33
13,2009,36
13,2010,32
13,2011,36
13,2012,32
13,2013,35
13,2014,34
13,2015,37
13,2016,36
13,2017,35
14,2000,25
14,2001,25
14,2002,25
14,2003,25
14,2004,28
14,2005,27
14,2006,26
14,2007,29
14,2008,28
14,2009,30
14,2010,31
14,2011,33
14,2012,28
14,2013,33
14,2014,32
14,2015,35
14,2016,34
14,2017,36
15,2000,33
15,2001,33
15,2002,33
15,2003,34
15,2004,36
15,2005,35
15,2006,36
15,2007,39
15,2008,39
15,2009,38
15,2010,40
15,2011,43
15,2012,42
15,2013,40
15,2014,43
15,2015,39
15,2016,46
15,2017,51
61,2000,39
61,2001,39
61,2002,39
61,2003,41
61,2004,41
61,2005,42
61,2006,44
61,2007,45
61,2008,48
61,2009,47
61,2010,46
61,2011,35
61,2012,37
61,2013,35
61,2014,38
61,2015,41
61,2016,40
61,2017,49
62,2000,21
62,2001,21
62,2002,21
62,2003,22
62,2004,23
62,2005,25
62,2006,30
62,2007,30
62,2008,36
62,2009,30
62,2010,36
62,2011,42
62,2012,43
62,2013,43
62,2014,46
62,2015,42
62,2016,50
62,2017,59
63,2000,28
63,2001,28
63,2002,28
63,2003,27
63,2004,27
63,2005,29
63,2006,28
63,2007,29
63,2008,27
63,2009,28
63,2010,31
63,2011,32
63,2012,39
63,2013,38
63,2014,35
63,2015,44
63,2016,46
63,2017,40
81,2000,7
81,2001,7
81,2002,7
81,2003,9
81,2004,9
81,2005,8
81,2006,9
81,2007,10
81,2008,10
81,2009,9
81,2010,8
81,2011,11
81,2012,8
81,2013,13
81,2014,11
81,2015,14
81,2016,14
81,2017,20
82,2000,20
82,2001,20
82,2002,20
82,2003,21
82,2004,21
82,2005,19
82,2006,21
82,2007,21
82,2008,24
82,2009,22
82,2010,21
82,2011,20
82,2012,23
82,2013,24
82,2014,24
82,2015,23
82,2016,24
82,2017,31
83,2000,6
83,2001,6
83,2002,6
83,2003,5
83,2004,5
83,2005,5
83,2006,6
83,2007,5
83,2008,5
83,2009,6
83,2010,7
83,2011,6
83,2012,7
83,2013,6
83,2014,5
83,2015,6
83,2016,12
83,2017,6
2,2000,15
2,2001,15
2,2002,15
2,2003,16
2,2004,18
2,2005,19
2,2006,20
2,2007,19
2,2008,21
2,2009,22
2,2010,19
2,2011,21
2,2012,23
2,2013,27
2,2014,23
2,2015,26
2,2016,33
2,2017,35
5,2000,67
5,2001,67
5,2002,67
5,2003,71
5,2004,75
5,2005,77
5,2006,78
5,2007,88
5,2008,89
5,2009,97
5,2010,105
5,2011,112
5,2012,115
5,2013,122
5,2014,121
5,2015,139
5,2016,140
5,2017,150
7,2000,67
7,2001,67
7,2002,67
7,2003,68
7,2004,73
7,2005,78
7,2006,88
7,2007,92
7,2008,88
7,2009,94
7,2010,93
7,2011,86
7,2012,90
7,2013,96
7,2014,102
7,2015,117
7,2016,118
7,2017,132
