geo,time,forvarvsfrekvens_summa
8069,2002,82
8069,2003,"82,3"
8069,2004,"82,4"
8069,2005,"85,6"
8069,2006,"87,5"
8069,2007,"90,4"
8069,2008,"88,2"
8069,2009,"88,5"
8069,2010,"85,3"
8069,2011,"86,5"
8069,2012,"85,9"
8069,2013,"85,4"
8069,2014,"80,8"
8069,2015,"84,4"
8069,2016,"85,4"
8071,2000,"80,7"
8071,2001,"80,7"
8071,2002,"81,6"
8071,2003,"80,2"
8071,2004,"83,4"
8071,2005,"80,2"
8071,2006,84
8071,2007,"83,8"
8071,2008,"82,9"
8071,2009,"84,5"
8071,2010,"83,7"
8071,2011,"84,7"
8071,2012,"84,9"
8071,2013,"85,8"
8071,2014,"84,3"
8071,2015,"85,3"
8071,2016,"87,1"
8072,2000,"79,5"
8072,2001,"79,5"
8072,2002,"77,9"
8072,2003,"78,2"
8072,2004,"78,4"
8072,2005,"75,8"
8072,2006,"83,6"
8072,2007,"86,4"
8072,2008,"84,6"
8072,2009,"82,1"
8072,2010,"79,2"
8072,2011,"83,5"
8072,2012,"82,2"
8072,2013,"83,2"
8072,2014,"82,1"
8072,2015,"77,6"
8072,2016,83
8073,2000,"65,6"
8073,2001,"65,6"
8073,2002,"64,6"
8073,2003,"66,1"
8073,2004,"64,8"
8073,2005,"66,7"
8073,2006,"66,9"
8073,2007,"67,5"
8073,2008,"65,7"
8073,2009,"62,5"
8073,2010,"63,9"
8073,2011,"64,3"
8073,2012,"64,5"
8073,2013,"65,5"
8073,2014,63
8073,2015,"60,2"
8073,2016,65
8074,2000,85
8074,2001,85
8074,2002,"84,4"
8074,2003,"83,9"
8074,2004,"85,2"
8074,2005,"85,8"
8074,2006,"87,9"
8074,2007,"89,8"
8074,2008,89
8074,2009,"85,6"
8074,2010,"87,2"
8074,2011,"87,2"
8074,2012,"85,9"
8074,2013,"84,9"
8074,2014,"91,4"
8074,2015,"90,3"
8074,2016,"90,1"
8075,2000,"79,8"
8075,2001,"79,8"
8075,2002,"82,1"
8075,2003,"86,4"
8075,2004,"84,1"
8075,2005,"84,6"
8075,2006,86
8075,2007,"89,2"
8075,2008,"88,7"
8075,2009,90
8075,2010,"88,1"
8075,2011,"91,8"
8075,2012,"94,6"
8075,2013,"93,1"
8075,2014,"93,2"
8075,2015,"91,4"
8075,2016,"89,9"
8076,2000,"81,8"
8076,2001,"81,8"
8076,2002,"82,3"
8076,2003,84
8076,2004,"82,6"
8076,2005,84
8076,2006,"81,9"
8076,2007,"84,6"
8076,2008,86
8076,2009,"87,4"
8076,2010,"85,1"
8076,2011,"85,1"
8076,2012,"84,6"
8076,2013,"83,7"
8076,2014,88
8076,2015,"87,1"
8076,2016,"89,9"
808,2000,"86,7"
808,2001,"86,7"
808,2002,"85,9"
808,2003,"87,4"
808,2004,"88,9"
808,2005,"85,5"
808,2006,"88,5"
808,2007,"87,3"
808,2008,"85,8"
808,2009,85
808,2010,"80,3"
808,2011,"85,8"
808,2012,"85,5"
808,2013,"89,4"
808,2014,"86,1"
808,2015,"84,7"
808,2016,"87,4"
11,2000,"74,1"
11,2001,"74,1"
11,2002,"75,4"
11,2003,78
11,2004,"73,5"
11,2005,"76,2"
11,2006,"78,8"
11,2007,"79,6"
11,2008,"79,2"
11,2009,"77,9"
11,2010,"76,6"
11,2011,"78,9"
11,2012,"78,1"
11,2013,"80,5"
11,2014,"78,3"
11,2015,"78,6"
11,2016,"80,2"
12,2000,"78,7"
12,2001,"78,7"
12,2002,79
12,2003,81
12,2004,"78,9"
12,2005,"79,8"
12,2006,"83,6"
12,2007,"83,7"
12,2008,"82,3"
12,2009,"79,1"
12,2010,"81,4"
12,2011,"82,2"
12,2012,"82,3"
12,2013,"82,2"
12,2014,84
12,2015,84
12,2016,"85,3"
13,2000,"74,3"
13,2001,"74,3"
13,2002,"74,4"
13,2003,"76,3"
13,2004,75
13,2005,"76,2"
13,2006,79
13,2007,"80,4"
13,2008,"79,2"
13,2009,"77,4"
13,2010,"79,3"
13,2011,"79,5"
13,2012,"80,7"
13,2013,"80,3"
13,2014,"81,9"
13,2015,83
13,2016,"83,2"
14,2000,"76,4"
14,2001,"76,4"
14,2002,"78,8"
14,2003,"80,8"
14,2004,"78,9"
14,2005,80
14,2006,"81,6"
14,2007,"82,1"
14,2008,"81,7"
14,2009,"79,5"
14,2010,"79,2"
14,2011,"80,5"
14,2012,"80,4"
14,2013,"79,3"
14,2014,82
14,2015,"83,5"
14,2016,"84,7"
15,2000,"76,9"
15,2001,"76,9"
15,2002,"77,7"
15,2003,"80,2"
15,2004,"78,5"
15,2005,"79,2"
15,2006,"81,3"
15,2007,"81,1"
15,2008,"80,9"
15,2009,"81,2"
15,2010,81
15,2011,"83,5"
15,2012,"83,5"
15,2013,85
15,2014,"85,7"
15,2015,"86,1"
15,2016,"86,6"
61,2000,"76,7"
61,2001,"76,7"
61,2002,"75,8"
61,2003,"79,1"
61,2004,"76,2"
61,2005,"79,6"
61,2006,"81,1"
61,2007,"82,5"
61,2008,"80,9"
61,2009,"77,1"
61,2010,"78,1"
61,2011,"78,1"
61,2012,"79,2"
61,2013,"80,2"
61,2014,"80,1"
61,2015,"79,8"
61,2016,"81,6"
62,2000,"76,2"
62,2001,"76,2"
62,2002,"77,6"
62,2003,"75,9"
62,2004,"76,9"
62,2005,"77,5"
62,2006,80
62,2007,"79,8"
62,2008,"77,9"
62,2009,"75,8"
62,2010,"77,4"
62,2011,"76,6"
62,2012,"76,8"
62,2013,"78,1"
62,2014,"77,6"
62,2015,"77,8"
62,2016,"69,2"
63,2000,"73,2"
63,2001,"73,2"
63,2002,"75,8"
63,2003,"75,7"
63,2004,"74,7"
63,2005,"77,1"
63,2006,"77,7"
63,2007,"78,1"
63,2008,"80,6"
63,2009,"78,9"
63,2010,"80,3"
63,2011,"78,2"
63,2012,"77,7"
63,2013,"77,2"
63,2014,"78,5"
63,2015,77
63,2016,81
81,2000,"75,1"
81,2001,"75,1"
81,2002,"72,2"
81,2003,"76,1"
81,2004,"70,4"
81,2005,"74,9"
81,2006,"78,4"
81,2007,"76,4"
81,2008,"75,2"
81,2009,77
81,2010,"76,7"
81,2011,80
81,2012,"76,3"
81,2013,"76,2"
81,2014,"79,4"
81,2015,"76,2"
81,2016,"78,9"
82,2000,"82,1"
82,2001,"82,1"
82,2002,"80,4"
82,2003,"82,6"
82,2004,"80,5"
82,2005,"83,5"
82,2006,"82,6"
82,2007,"84,9"
82,2008,"86,1"
82,2009,"84,7"
82,2010,"85,1"
82,2011,"88,4"
82,2012,"88,9"
82,2013,"88,3"
82,2014,"87,9"
82,2015,"87,9"
82,2016,"89,3"
83,2000,"70,8"
83,2001,"70,8"
83,2002,"70,1"
83,2003,77
83,2004,70
83,2005,"75,9"
83,2006,"77,7"
83,2007,"80,4"
83,2008,"80,5"
83,2009,"78,1"
83,2010,"77,6"
83,2011,"87,1"
83,2012,"83,3"
83,2013,"86,4"
83,2014,"87,5"
83,2015,"86,1"
83,2016,"85,5"
2,2000,"77,5"
2,2001,"77,5"
2,2002,"79,6"
2,2003,"80,3"
2,2004,"79,5"
2,2005,"79,6"
2,2006,"81,5"
2,2007,"81,5"
2,2008,"80,6"
2,2009,"79,5"
2,2010,"82,3"
2,2011,85
2,2012,"83,7"
2,2013,"82,6"
2,2014,"84,8"
2,2015,"82,7"
2,2016,"84,1"
5,2000,"81,1"
5,2001,"81,1"
5,2002,"81,2"
5,2003,"82,6"
5,2004,"81,1"
5,2005,"83,1"
5,2006,"83,9"
5,2007,"85,4"
5,2008,"85,2"
5,2009,"83,8"
5,2010,"83,3"
5,2011,"84,4"
5,2012,"84,9"
5,2013,85
5,2014,"85,5"
5,2015,"85,7"
5,2016,"86,6"
7,2000,"81,7"
7,2001,"81,7"
7,2002,"83,4"
7,2003,"83,1"
7,2004,"82,1"
7,2005,"83,2"
7,2006,84
7,2007,"85,4"
7,2008,"85,1"
7,2009,"84,2"
7,2010,"85,7"
7,2011,"87,3"
7,2012,"86,8"
7,2013,87
7,2014,"87,2"
7,2015,"87,5"
7,2016,89
