geo,time,befolkning_alder_25_44_ar
8045,2016,66
8045,2017,67
8057,2000,97
8057,2001,100
8057,2002,96
8057,2003,98
8057,2004,94
8057,2005,95
8057,2006,86
8057,2007,96
8057,2008,96
8057,2009,92
8057,2010,89
8057,2011,87
8057,2012,84
8057,2013,79
8057,2014,79
8057,2015,75
8057,2016,78
8057,2017,77
8061,2000,184
8061,2001,179
8061,2002,176
8061,2003,171
8061,2004,171
8061,2005,177
8061,2006,181
8061,2007,188
8061,2008,186
8061,2009,182
8061,2010,174
8061,2011,161
8061,2012,158
8061,2013,157
8061,2014,157
8061,2015,159
8061,2016,147
8061,2017,135
8062,2000,217
8062,2001,222
8062,2002,210
8062,2003,213
8062,2004,222
8062,2005,241
8062,2006,235
8062,2007,233
8062,2008,245
8062,2009,238
8062,2010,227
8062,2011,227
8062,2012,220
8062,2013,207
8062,2014,199
8062,2015,185
8062,2016,173
8062,2017,161
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,1
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,75
8063,2009,112
8063,2010,131
8063,2011,148
8063,2012,172
8063,2013,186
8063,2014,189
8063,2015,186
8063,2016,189
8063,2017,185
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,1
8064,2015,9
8064,2016,23
8064,2017,32
8065,2000,0
8065,2001,0
8065,2002,1
8065,2003,1
8065,2004,1
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,1
8065,2010,1
8065,2011,0
8065,2012,0
8065,2013,1
8065,2014,0
8065,2015,1
8065,2016,0
8065,2017,0
8066,2000,156
8066,2001,164
8066,2002,150
8066,2003,150
8066,2004,137
8066,2005,123
8066,2006,119
8066,2007,123
8066,2008,114
8066,2009,122
8066,2010,126
8066,2011,117
8066,2012,119
8066,2013,113
8066,2014,124
8066,2015,132
8066,2016,133
8066,2017,142
8067,2000,153
8067,2001,162
8067,2002,167
8067,2003,161
8067,2004,167
8067,2005,172
8067,2006,171
8067,2007,180
8067,2008,188
8067,2009,177
8067,2010,171
8067,2011,170
8067,2012,153
8067,2013,161
8067,2014,165
8067,2015,166
8067,2016,162
8067,2017,161
8068,2000,211
8068,2001,208
8068,2002,226
8068,2003,232
8068,2004,227
8068,2005,228
8068,2006,232
8068,2007,225
8068,2008,212
8068,2009,201
8068,2010,207
8068,2011,210
8068,2012,203
8068,2013,202
8068,2014,207
8068,2015,213
8068,2016,222
8068,2017,203
8069,2000,47
8069,2001,41
8069,2002,38
8069,2003,39
8069,2004,39
8069,2005,43
8069,2006,35
8069,2007,38
8069,2008,40
8069,2009,47
8069,2010,45
8069,2011,39
